maid,latitude,longitude,timestamp,adjusted_longitude,adjusted_latitude
00012afc-6daf-461f-96a8-181e5af69db9,-7.800291,110.36499786376952,2021-12-01 17:54:11,110.3649964,-7.8002104
00012afc-6daf-461f-96a8-181e5af69db9,-7.8003,110.36499786376952,2021-12-01 17:54:22,110.3649964,-7.8002104
00012afc-6daf-461f-96a8-181e5af69db9,-7.8003,110.36499786376952,2021-12-01 17:54:22,110.3649964,-7.8002104
00ac9aac-851f-4b1a-b554-cc1f75d02fcd,-7.79903,110.36528778076172,2021-12-22 15:29:32,110.365144,-7.7990824
00bdab07-a389-41d8-bb5a-743349b86e7f,-7.792231,110.36589813232422,2021-12-17 16:50:15,110.3659211,-7.7923433
00bdab07-a389-41d8-bb5a-743349b86e7f,-7.792231,110.36589813232422,2021-12-17 16:50:15,110.3659211,-7.7923433
00bdab07-a389-41d8-bb5a-743349b86e7f,-7.7922306,110.3659,2021-12-18 00:54:17,110.3659211,-7.7923433
00bdab07-a389-41d8-bb5a-743349b86e7f,-7.7922306,110.36589813232422,2021-12-18 10:54:23,110.3659211,-7.7923433
00bdab07-a389-41d8-bb5a-743349b86e7f,-7.7922306,110.36589813232422,2021-12-18 10:54:23,110.3659211,-7.7923433
00f39daa-44b2-45c6-ae04-dd7b8a020452,-7.792018,110.3659,2021-12-25 21:11:13,110.3659504,-7.7920453
00f39daa-44b2-45c6-ae04-dd7b8a020452,-7.7920194,110.36587524414062,2021-12-26 10:34:27,110.3659504,-7.7920453
00f39daa-44b2-45c6-ae04-dd7b8a020452,-7.792019,110.36587524414062,2021-12-26 10:47:34,110.3659504,-7.7920453
00f39daa-44b2-45c6-ae04-dd7b8a020452,-7.792019,110.365875,2021-12-26 12:07:27,110.3659504,-7.7920453
00f39daa-44b2-45c6-ae04-dd7b8a020452,-7.7920594,110.36587524414062,2021-12-26 16:37:31,110.3659504,-7.7920453
00f39daa-44b2-45c6-ae04-dd7b8a020452,-7.792059,110.36587524414062,2021-12-26 20:07:06,110.3659504,-7.7920453
00f39daa-44b2-45c6-ae04-dd7b8a020452,-7.792059,110.36587524414062,2021-12-26 20:07:06,110.3659504,-7.7920453
01e2cf9a-ed42-4131-b506-5fa89496afe7,-7.7973623,110.36507415771484,2021-12-11 09:53:24,110.3651989,-7.7974255
01e2cf9a-ed42-4131-b506-5fa89496afe7,-7.79882,110.36531,2021-12-11 12:23:17,110.3650977,-7.7988396
01e2cf9a-ed42-4131-b506-5fa89496afe7,-7.79881,110.36532,2021-12-11 12:23:27,110.3650977,-7.7988396
01e2cf9a-ed42-4131-b506-5fa89496afe7,-7.79881,110.36532592773438,2021-12-11 12:23:28,110.3650977,-7.7988396
01e2cf9a-ed42-4131-b506-5fa89496afe7,-7.79906,110.3651123046875,2021-12-11 14:10:14,110.365144,-7.7990824
01e2cf9a-ed42-4131-b506-5fa89496afe7,-7.79905,110.36511,2021-12-11 14:10:23,110.365144,-7.7990824
01e2cf9a-ed42-4131-b506-5fa89496afe7,-7.79905,110.36511,2021-12-11 14:10:23,110.365144,-7.7990824
02114420-bd0e-4dba-96bf-681548e1b702,-7.79487,110.36565,2021-12-14 10:52:04,110.3655429,-7.7952198
02114420-bd0e-4dba-96bf-681548e1b702,-7.79488,110.36566,2021-12-14 10:52:53,110.3655429,-7.7952198
02114420-bd0e-4dba-96bf-681548e1b702,-7.794868,110.36565399169922,2021-12-14 11:34:15,110.3655429,-7.7952198
02114420-bd0e-4dba-96bf-681548e1b702,-7.79488,110.36566162109376,2021-12-14 11:34:20,110.3655429,-7.7952198
02114420-bd0e-4dba-96bf-681548e1b702,-7.794868,110.36566162109376,2021-12-14 11:52:51,110.3655429,-7.7952198
02114420-bd0e-4dba-96bf-681548e1b702,-7.79559,110.36553192138672,2021-12-14 14:21:36,110.3655424,-7.7958748
02114420-bd0e-4dba-96bf-681548e1b702,-7.7955847,110.36553955078124,2021-12-14 14:21:46,110.3655424,-7.7958748
02114420-bd0e-4dba-96bf-681548e1b702,-7.798297,110.36511993408205,2021-12-26 20:44:02,110.3651635,-7.7983549
02114420-bd0e-4dba-96bf-681548e1b702,-7.7983,110.3651123046875,2021-12-26 20:44:51,110.3651635,-7.7983549
02114420-bd0e-4dba-96bf-681548e1b702,-7.7983,110.3651123046875,2021-12-26 20:44:51,110.3651635,-7.7983549
02114420-bd0e-4dba-96bf-681548e1b702,-7.798297,110.36511993408205,2021-12-26 21:46:55,110.3651635,-7.7983549
02114420-bd0e-4dba-96bf-681548e1b702,-7.7983,110.36512,2021-12-26 22:34:03,110.3651635,-7.7983549
02114420-bd0e-4dba-96bf-681548e1b702,-7.7983,110.36511,2021-12-26 22:34:54,110.3651635,-7.7983549
02114420-bd0e-4dba-96bf-681548e1b702,-7.7983,110.36511,2021-12-26 22:34:54,110.3651635,-7.7983549
02173b79-6dec-4190-9f96-36c0969155fa,-7.792231,110.3659,2021-12-07 13:56:54,110.3659211,-7.7923433
02173b79-6dec-4190-9f96-36c0969155fa,-7.7922306,110.3659,2021-12-07 14:12:52,110.3659211,-7.7923433
02173b79-6dec-4190-9f96-36c0969155fa,-7.7922306,110.3659,2021-12-07 14:12:52,110.3659211,-7.7923433
026dbfe0-e193-4977-9c2b-3e7a327f25ed,-7.792231,110.36589813232422,2021-12-16 19:12:52,110.3659211,-7.7923433
02afeff7-3b9a-4755-b94d-e8fc36311acf,-7.800937,110.36479949951172,2021-12-04 23:56:47,110.3648202,-7.8011482
