maid,latitude,longitude,timestamp
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7897292,110.3685709,2021-12-06 13:04:14
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7897441,110.3685519,2021-12-06 13:04:23
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7897781,110.368533,2021-12-06 13:09:13
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7899887,110.3684559,2021-12-06 13:09:24
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7902139,110.3683734,2021-12-06 13:09:25
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.790283,110.3683497,2021-12-06 13:15:13
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7903225,110.3683252,2021-12-06 13:15:24
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7903568,110.3682936,2021-12-06 13:15:25
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7903847,110.3682561,2021-12-06 13:34:08
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.790405,110.368214,2021-12-06 13:34:09
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7904172,110.3681688,2021-12-06 13:34:58
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7904208,110.3681222,2021-12-06 13:40:37
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7904156,110.3680756,2021-12-06 13:40:47
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7904167,110.3679585,2021-12-06 13:53:07
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7904217,110.3679261,2021-12-06 13:53:57
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.79043,110.3678895,2021-12-06 14:12:06
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7904933,110.3677458,2021-12-06 14:12:56
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.79043,110.3678895,2021-12-06 14:18:06
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7904217,110.3679261,2021-12-06 14:18:56
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7904167,110.3679585,2021-12-06 14:21:02
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7904156,110.3680756,2021-12-06 14:21:51
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7902881,110.3679561,2021-12-06 14:23:06
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7902728,110.3679141,2021-12-06 14:23:56
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7901751,110.367673,2021-12-06 14:24:33
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.790156,110.3676205,2021-12-06 14:24:44
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7901413,110.3675455,2021-12-06 14:32:16
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7901279,110.3674365,2021-12-06 14:32:26
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7901226,110.3673297,2021-12-06 14:38:17
