maid,timestamp,adjusted_longitude,adjusted_latitude
d9f515f4-1a78-442b-81c4-55bf5f253b91_1,2021-12-06 11:52:34,110.3745259569541,-7.785325880101765
d9f515f4-1a78-442b-81c4-55bf5f253b91_1,2021-12-06 11:52:43,110.3746362741079,-7.785335456435389
d9f515f4-1a78-442b-81c4-55bf5f253b91_1,2021-12-06 11:53:34,110.37414428481357,-7.788561274706934
d9f515f4-1a78-442b-81c4-55bf5f253b91_1,2021-12-06 11:53:43,110.3741986,-7.7885672
d9f515f4-1a78-442b-81c4-55bf5f253b91_1,2021-12-06 11:54:35,110.37393352257973,-7.791225599860169
d9f515f4-1a78-442b-81c4-55bf5f253b91_1,2021-12-06 11:54:40,110.37393203929717,-7.791230191476655
d9f515f4-1a78-442b-81c4-55bf5f253b91_1,2021-12-06 11:55:37,110.37282028304728,-7.794399597959334
d9f515f4-1a78-442b-81c4-55bf5f253b91_1,2021-12-06 11:55:47,110.37282536942895,-7.7943806459206435
d9f515f4-1a78-442b-81c4-55bf5f253b91_1,2021-12-06 11:57:18,110.37283948430964,-7.794328053374081
d9f515f4-1a78-442b-81c4-55bf5f253b91_1,2021-12-06 11:57:28,110.37283750376288,-7.794335432961613
d9f515f4-1a78-442b-81c4-55bf5f253b91_1,2021-12-06 11:58:15,110.3711761682239,-7.79344099595564
d9f515f4-1a78-442b-81c4-55bf5f253b91_1,2021-12-06 11:58:20,110.37117538310406,-7.793451838086845
d9f515f4-1a78-442b-81c4-55bf5f253b91_1,2021-12-06 11:59:15,110.36760749707842,-7.793401548194325
d9f515f4-1a78-442b-81c4-55bf5f253b91_1,2021-12-06 11:59:20,110.36760733362996,-7.79339997742696
d9f515f4-1a78-442b-81c4-55bf5f253b91_1,2021-12-06 12:00:16,110.3676046629735,-7.793374311965719
d9f515f4-1a78-442b-81c4-55bf5f253b91_1,2021-12-06 12:00:26,110.36760579950918,-7.793385234266239
d9f515f4-1a78-442b-81c4-55bf5f253b91_1,2021-12-06 12:02:32,110.3676065949658,-7.793392878739263
d9f515f4-1a78-442b-81c4-55bf5f253b91_1,2021-12-06 12:02:41,110.36760692500883,-7.793396050508548
d9f515f4-1a78-442b-81c4-55bf5f253b91_1,2021-12-06 12:03:32,110.36760898384502,-7.793415836273388
d9f515f4-1a78-442b-81c4-55bf5f253b91_1,2021-12-06 12:03:41,110.36760906556925,-7.79341662165707
d9f515f4-1a78-442b-81c4-55bf5f253b91_1,2021-12-06 12:04:39,110.36760478444839,-7.793375479360027
d9f515f4-1a78-442b-81c4-55bf5f253b91_1,2021-12-06 12:04:49,110.3676036335554,-7.7933644190833
d9f515f4-1a78-442b-81c4-55bf5f253b91_1,2021-12-06 12:05:35,110.36760672180971,-7.79339409773056
d9f515f4-1a78-442b-81c4-55bf5f253b91_1,2021-12-06 12:05:40,110.36760641716005,-7.793391169995692
d9f515f4-1a78-442b-81c4-55bf5f253b91_1,2021-12-06 12:06:32,110.3676046629735,-7.793374311965719
d9f515f4-1a78-442b-81c4-55bf5f253b91_1,2021-12-06 12:06:41,110.36760579950918,-7.793385234266239
d9f515f4-1a78-442b-81c4-55bf5f253b91_1,2021-12-06 12:07:38,110.36761318324164,-7.793456193186749
d9f515f4-1a78-442b-81c4-55bf5f253b91_1,2021-12-06 12:07:48,110.36761318324164,-7.793456193186749
d9f515f4-1a78-442b-81c4-55bf5f253b91_1,2021-12-06 12:08:39,110.36760906556925,-7.79341662165707
d9f515f4-1a78-442b-81c4-55bf5f253b91_1,2021-12-06 12:08:49,110.36760692500883,-7.793396050508548
d9f515f4-1a78-442b-81c4-55bf5f253b91_1,2021-12-06 12:09:00,110.36760367330606,-7.793364801093924
d9f515f4-1a78-442b-81c4-55bf5f253b91_1,2021-12-06 12:09:55,110.36760478444839,-7.793375479360027
d9f515f4-1a78-442b-81c4-55bf5f253b91_1,2021-12-06 12:10:00,110.36760700673305,-7.7933968358922305
d9f515f4-1a78-442b-81c4-55bf5f253b91_1,2021-12-06 12:10:55,110.36760692500883,-7.793396050508548
d9f515f4-1a78-442b-81c4-55bf5f253b91_1,2021-12-06 12:11:07,110.36760374067298,-7.7933654485014
