maid,latitude,longitude,timestamp
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7994866,110.3649204,2021-12-06 15:09:32
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7995003,110.3646454,2021-12-06 15:09:41
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.799463,110.3645673,2021-12-06 15:09:44
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7994252,110.3645148,2021-12-06 15:09:47
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7993979,110.3644721,2021-12-06 15:09:50
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7993342,110.3643568,2021-12-06 15:09:53
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7992964,110.3642372,2021-12-06 15:09:56
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7992772,110.3640669,2021-12-06 15:09:59
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7992061,110.3634145,2021-12-06 15:10:02
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7991911,110.3632777,2021-12-06 15:10:05
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7992063,110.3629403,2021-12-06 15:10:08
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7992079,110.3628474,2021-12-06 15:10:11
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7992148,110.362803,2021-12-06 15:10:14
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7992252,110.3626871,2021-12-06 15:10:17
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7992225,110.3625503,2021-12-06 15:10:20
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7992148,110.3624716,2021-12-06 15:10:23
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7991814,110.3621292,2021-12-06 15:10:31
