maid,latitude,longitude,timestamp,adjusted_latitude,adjusted_longitude
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.77715,110.36733,2021-12-06 08:45:05,-7.777178964409262,110.3675517078608
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.77714,110.36734008789062,2021-12-06 08:45:50,-7.777167836430318,110.36755316164478
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.77876,110.3733367919922,2021-12-06 08:46:34,-7.7787407,110.3732826
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.77873,110.37332,2021-12-06 08:46:43,-7.778721449730664,110.3732876950372
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.77993,110.37306,2021-12-06 08:47:08,-7.779912349946936,110.37299366264742
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.77994,110.37305,2021-12-06 08:47:58,-7.7800742,110.3729506
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.779817,110.3730697631836,2021-12-06 08:49:06,-7.779723417058524,110.37309776078283
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.77981,110.37307739257812,2021-12-06 08:49:56,-7.779724936997598,110.37310284123163
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.77967,110.3730697631836,2021-12-06 08:50:35,-7.779711340693421,110.37305739511578
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.77965,110.37307,2021-12-06 08:50:40,-7.779648527881817,110.37306476519169
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.779817,110.373046875,2021-12-06 08:52:03,-7.779810081685485,110.37302087266066
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.77982,110.373046875,2021-12-06 08:52:54,-7.779812883353639,110.3730201272346
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.77991,110.37307,2021-12-06 08:57:03,-7.779731122236802,110.37312351560708
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.77991,110.37308,2021-12-06 08:57:54,-7.779733868200547,110.37313269408565
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.77968,110.37308,2021-12-06 09:02:13,-7.779673723186464,110.37305767983844
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.77969,110.37307,2021-12-06 09:02:24,-7.779685596388695,110.37305434088965
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.78023,110.37399291992188,2021-12-06 09:04:34,-7.7802001,110.373779
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.78024,110.37399291992188,2021-12-06 09:04:43,-7.7802001,110.373779
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.780095,110.37383,2021-12-06 09:05:35,-7.7802001,110.373779
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.780095,110.37383270263672,2021-12-06 09:05:36,-7.7802001,110.373779
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.7801,110.37384033203124,2021-12-06 09:05:40,-7.7802001,110.373779
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.78027,110.37362,2021-12-06 09:06:35,-7.7802703249083285,110.37362151342582
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.78025,110.37361907958984,2021-12-06 09:06:40,-7.7802513949718035,110.37362557738058
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.78036,110.37353,2021-12-06 09:07:08,-7.780335776598475,110.37353629764971
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.78035,110.37354,2021-12-06 09:07:58,-7.780337578706639,110.37354322931337
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.780344,110.37354278564452,2021-12-06 09:07:59,-7.780337877204538,110.37354437746146
