maid,latitude,longitude
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.777152393231185,110.36755517917875
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.777242192264212,110.36754344763285
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.777331991297238,110.36753171608696
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.777421790330265,110.36751998454106
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.777511589363291,110.36750825299517
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.7776013883963175,110.36749652144928
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.777691187429344,110.36748478990339
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.77778098646237,110.36747305835749
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.777870110384447,110.367457940057
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.7779078273361995,110.3673852108909
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.777894487608587,110.36729563663584
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.777881147880976,110.36720606238079
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.777867808153363,110.36711648812575
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.777854468425752,110.36702691387069
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.77784112869814,110.36693733961563
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.777827043244748,110.36684788336254
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.777812075677043,110.3667585666932
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.777797108109339,110.36666925002389
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.7777821405416345,110.36657993335457
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.77776717297393,110.36649061668525
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.777752205406226,110.36640130001592
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.7777372378385214,110.3663119833466
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.777722270270817,110.36622266667729
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.777707302703113,110.36613335000797
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.777692335135408,110.36604403333864
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.777677367567704,110.36595471666932
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.7776624,110.3658654
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.7777255,110.365842
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.777739933333333,110.36593153333334
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.777754366666667,110.36602106666666
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.7777688,110.3661106
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.777783233333333,110.36620013333334
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.777797666666666,110.36628966666666
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.7778121,110.3663792
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.777826533333333,110.36646873333333
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.777840966666667,110.36655826666666
